AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
23879,312585551,158,评论,2024-09-28,1,电子 驾车 性感 ,105,车载旋律DJ | 在心里 从此永远有个你,12656202735,https://music.163.com/playlist?id=12656202735
3283,107742044,28,评论,2024-09-30,1,华语 流行 综艺 ,52,音综live：《我们的歌》+《天赐的声音》,12662119318,https://music.163.com/playlist?id=12662119318
26198,312585551,168,评论,2024-10-02,2,电子 驾车 运动 ,105,拒绝焦虑！从听PHONK燃曲开始,12674358786,https://music.163.com/playlist?id=12674358786
13392,2112321790,74,1,2024-10-08,0,华语 驾车 快乐 ,50,劲爆流行DJ丨热门车载音乐 中文咚鼓,12700406174,https://music.163.com/playlist?id=12700406174
396692,346769611,2722,7,2024-06-26,18,华语 流行 R&B/Soul ,108,华语R&B | 节奏布鲁斯的漫步轻佻,12227034364,https://music.163.com/playlist?id=12227034364
2695,7872690377,30,4,2024-10-31,2,日语 ,50,合伙人爱听 | 唤起幸福回忆的日语歌,12796129713,https://music.163.com/playlist?id=12796129713
11599,7872690377,106,8,2024-10-31,3,另类/独立 朋克 爵士 ,51,合伙人优选 | 另类独立的迷幻音乐空间,12797079298,https://music.163.com/playlist?id=12797079298
379754,3235497794,1449,15,2024-08-08,6,华语 流行 综艺 ,70,「天赐的声音」最值得听的60首live ,12423512206,https://music.163.com/playlist?id=12423512206
2640,2118682115,5,评论,2024-09-28,0,华语 治愈 放松 ,43,盛夏光年丨像风一样自由 奔赴属于我的远方,12657163779,https://music.163.com/playlist?id=12657163779
342071,107742044,1125,3,2024-07-15,5,华语 流行 综艺 ,65,天赐的声音|音综封神舞台live,12313270614,https://music.163.com/playlist?id=12313270614
626474,107742044,2576,19,2024-07-22,12,华语 流行 综艺 ,113,音综神级live：一开嗓直击心灵！,12339396405,https://music.163.com/playlist?id=12339396405
526985,107742044,2909,12,2024-02-01,16,华语 翻唱 综艺 ,118,神级翻唱live：享受天花板级别的嗓音,9238869483,https://music.163.com/playlist?id=9238869483
1649,8376551360,19,评论,2024-10-07,0,欧美 R&B/Soul 流行 ,84,少女向R&B｜快乐鼓点 带点可愛甜蜜的味道！,12699379009,https://music.163.com/playlist?id=12699379009
165209,342371680,3129,11,2024-06-22,32,电子 安静 孤独 ,76,梦核美学：渗透灵魂的量子冥想感知乐,12210493597,https://music.163.com/playlist?id=12210493597
3740,468356020,17,评论,2024-10-10,0,韩语 流行 兴奋 ,73,Kpop律动女王｜酷girl已就位实力圈粉,12712936743,https://music.163.com/playlist?id=12712936743
762874,2009876969,7500,34,2024-03-31,68,R&B/Soul 放松 ,138,如果你听R&B那你一定也会懂我,9607361661,https://music.163.com/playlist?id=9607361661
4874,342371680,17,评论,2024-11-08,0,流行 网络歌曲 翻唱 ,61,『慢摇DJ』初听不懂曲中意 再听已是DJ人,12836302944,https://music.163.com/playlist?id=12836302944
14698,107742044,221,评论,2024-10-02,0,华语 流行 综艺 ,44,天赐的声音：神仙打架的顶级live,12674370601,https://music.163.com/playlist?id=12674370601
35581,107742044,106,评论,2024-09-15,0,华语 流行 综艺 ,50,天赐的声音第五季：金曲舞台全收录,12601081781,https://music.163.com/playlist?id=12601081781
685447,107742044,2996,28,2024-08-31,14,华语 综艺 驾车 ,110,天赐的声音live：历届金曲精选集！,12539210503,https://music.163.com/playlist?id=12539210503
22745,2103895753,4,评论,2024-10-22,1,华语 流行 兴奋 ,147,带上耳机 | 静享美好时光 Axiklar,12757043476,https://music.163.com/playlist?id=12757043476
172816,107742044,517,1,2024-09-15,2,华语 流行 综艺 ,87,天赐的声音：单依纯 汪苏泷 张碧晨 杨宗纬,12601032488,https://music.163.com/playlist?id=12601032488
2611,8376551360,25,评论,2024-11-04,0,欧美 流行 快乐 ,96,多巴胺小调｜自由且充满阳光的氛围感,12819319941,https://music.163.com/playlist?id=12819319941
10897,79318044,44,1,2024-10-24,0,电子 驾车 欧美 ,54,多巴胺音浪丨丢掉你的烦恼,12768769645,https://music.163.com/playlist?id=12768769645
24001,312585551,152,评论,2024-10-17,0,电子 流行 00后 ,105,节奏感太强了，放车里嘎嘎上头,12738956146,https://music.163.com/playlist?id=12738956146
462179,289695170,6575,28,2024-06-19,215,华语 ,98,汪苏泷「十万伏特」2024巡演歌单,12200756252,https://music.163.com/playlist?id=12200756252
645,468356020,4,评论,2024-11-12,0,韩语 流行 兴奋 ,97,Kpop高燃活力｜祛班味快乐神曲 动感满分,12850194165,https://music.163.com/playlist?id=12850194165
1922,647695007,6,评论,2024-10-08,0,华语 流行 榜单 ,98,「深情•华语」把温柔留给值得的人,12704232618,https://music.163.com/playlist?id=12704232618
163760,107742044,690,评论,2024-09-18,1,华语 流行 感动 ,124,单依纯周深张碧晨陈楚生薛之谦汪苏泷,12615758496,https://music.163.com/playlist?id=12615758496
157754,3327856502,1058,6,2024-09-06,7,流行 欧美 运动 ,57,骑行不枯燥，听欧美热曲追风自在,12561967367,https://music.163.com/playlist?id=12561967367
4803,312585551,24,评论,2024-09-25,0,欧美 电子 流行 ,198,爆毒Phonk幻动律摆 旷彩霓電,12647554021,https://music.163.com/playlist?id=12647554021
25429,342371680,142,评论,2024-09-01,2,华语 R&B/Soul 流行 ,74,华语R&B｜当代R&B 浪漫生活的调味剂,12548419675,https://music.163.com/playlist?id=12548419675
955973,342371680,11870,31,2024-04-12,150,欧美 R&B/Soul 放松 ,183,100%松弛度/灵魂乐R&B 慵懒 迷幻氛围,9772379403,https://music.163.com/playlist?id=9772379403
2039,468356020,18,评论,2024-10-03,1,欧美 R&B/Soul 治愈 ,121,漫游R&B｜慵懒情调的浪漫呢喃气息,12677658153,https://music.163.com/playlist?id=12677658153
1208,9202665268,19,2,2024-11-10,2,流行 日语 治愈 ,62,日系治愈：无法抗拒的温柔可爱女声,12842672057,https://music.163.com/playlist?id=12842672057
528137,350496135,3702,24,2023-03-24,31,轻音乐 流行 夜晚 ,146,治愈系 | 愿每天的坏心情都能在睡前清零,8254202923,https://music.163.com/playlist?id=8254202923
2035147,629268620,18711,198,2024-04-19,139,欧美 电子 驾车 ,145,运动【硬曲】【战歌起】自律时代,9844238233,https://music.163.com/playlist?id=9844238233
2325,1520836115,24,评论,2024-09-27,1,华语 R&B/Soul 浪漫 ,63,开车兜风播放的R&B｜开车像约会一样浪漫,12652461415,https://music.163.com/playlist?id=12652461415
3123,1378494832,30,评论,2024-09-27,0,放松 安静 治愈 ,136,治愈放松减压｜会幸福的再等等,12651323142,https://music.163.com/playlist?id=12651323142
83536,1674475978,595,1,2024-07-21,4,思念 治愈 ,53,多情最是春庭雪，我心匪石不可转,12336667078,https://music.163.com/playlist?id=12336667078
59294,422767,350,3,2024-09-19,4,欧美 说唱 兴奋 ,109,YE · 侃爷巡回试听 重温精彩,12617736454,https://music.163.com/playlist?id=12617736454
116808640,7017009,2637141,7124,2014-08-30,38003,轻音乐 学习 治愈 ,44,那些你熟悉却又不知道名字的轻音乐,26467411,https://music.163.com/playlist?id=26467411
71608,1721527,1921,39,2024-06-23,15,日语 孤独 摇滚 ,42,[GBC/MyGO!!!!!/结束乐队]一次性溜个爽系列,12218945872,https://music.163.com/playlist?id=12218945872
